column,first_value,dtype
bow_nation,0.0,int64
bow_national,0.0,int64
bow_native,0.0,int64
bow_natural,0.0,int64
bow_nature,0.0,int64
bow_navy,0.0,int64
bow_nba,0.0,int64
bow_nbc,0.0,int64
bow_need,0.0,int64
bow_needs,0.0,int64
bow_nerd,0.0,int64
bow_net,0.0,int64
bow_netflix,0.0,int64
bow_network,0.0,int64
bow_new,0.0,int64
bow_news,0.0,int64
bow_newsletter,0.0,int64
bow_nfl,0.0,int64
bow_nice,0.0,int64
bow_night,0.0,int64
bow_non,0.0,int64
bow_nurse,0.0,int64
bow_ny,0.0,int64
bow_nyc,0.0,int64
bow_nyt,0.0,int64
bow_nytimes,0.0,int64
bow_não,0.0,int64
bow_obsessed,0.0,int64
bow_occasional,0.0,int64
bow_office,0.0,int64
bow_officer,0.0,int64
bow_official,0.0,int64
bow_oficial,0.0,int64
bow_oh,0.0,int64
bow_ok,0.0,int64
bow_old,0.0,int64
bow_online,0.0,int64
bow_open,0.0,int64
bow_opinion,0.0,int64
bow_opinions,0.0,int64
bow_order,0.0,int64
bow_original,0.0,int64
bow_owner,0.0,int64
bow_pa,0.0,int64
bow_page,0.0,int64
bow_painter,0.0,int64
bow_para,0.0,int64
bow_partner,0.0,int64
bow_party,0.0,int64
bow_passion,0.0,int64
bow_passionate,0.0,int64
bow_past,0.0,int64
bow_patriot,0.0,int64
bow_peace,0.0,int64
bow_people,0.0,int64
bow_perfect,0.0,int64
bow_periodista,0.0,int64
bow_person,0.0,int64
bow_personal,0.0,int64
bow_personality,0.0,int64
bow_phd,0.0,int64
bow_philly,0.0,int64
bow_photo,0.0,int64
bow_photographer,0.0,int64
bow_photography,0.0,int64
bow_photos,0.0,int64
bow_pictures,0.0,int64
bow_place,0.0,int64
bow_planet,0.0,int64
bow_plant,0.0,int64
bow_play,0.0,int64
bow_player,0.0,int64
bow_pm,0.0,int64
bow_podcast,0.0,int64
bow_podcaster,0.0,int64
bow_poet,0.0,int64
bow_point,0.0,int64
bow_policy,0.0,int64
bow_political,0.0,int64
bow_politico,0.0,int64
bow_politics,0.0,int64
bow_pop,0.0,int64
bow_por,0.0,int64
bow_positive,0.0,int64
bow_post,0.0,int64
bow_power,0.0,int64
bow_powered,0.0,int64
bow_pr,0.0,int64
